Time,Close,Difference
9/14/2021,28650,1736.903023
9/15/2021,26800,-1798.815661
9/16/2021,25500,-1300
9/17/2021,26750,1250
9/20/2021,26150,-600
9/21/2021,25400,-750
9/22/2021,25900,500
9/23/2021,25600,-300
9/24/2021,25900,300
9/27/2021,25550,-350
9/28/2021,25000,-550
9/29/2021,24500,-500
9/30/2021,25000,500
10/1/2021,24900,-100
10/4/2021,25900,1000
10/5/2021,26200,300
10/6/2021,25900,-300
10/7/2021,25950,50
10/8/2021,26100,150
10/11/2021,27000,900
10/12/2021,26700,-300
10/13/2021,26450,-250
10/14/2021,26300,-150
10/15/2021,26050,-250
10/18/2021,25600,-450
10/19/2021,25750,150
10/20/2021,25900,150
10/21/2021,25950,50
10/22/2021,25950,0
10/25/2021,25400,-550
10/26/2021,25800,400
10/27/2021,25650,-150
10/28/2021,25000,-650
10/29/2021,24800,-200
11/1/2021,24700,-100
11/2/2021,24600,-100
11/3/2021,22950,-1650
11/4/2021,24150,1200
11/5/2021,24650,500
11/8/2021,24900,250
11/9/2021,24800,-100
11/10/2021,24650,-150
11/11/2021,24900,250
11/12/2021,25050,150
11/15/2021,24600,-450
11/16/2021,25100,500
11/17/2021,25800,700
11/18/2021,25200,-600
11/19/2021,23450,-1750
11/22/2021,23000,-450
11/23/2021,23350,350
11/24/2021,23650,300
11/25/2021,23800,150
11/26/2021,23850,50
11/29/2021,23150,-700
11/30/2021,23000,-150
12/1/2021,23050,50
12/2/2021,22900,-150
12/3/2021,22800,-100
12/6/2021,22050,-750
12/7/2021,22200,150
12/8/2021,22950,750
12/9/2021,22900,-50
12/10/2021,23600,700
12/13/2021,24900,1300
12/14/2021,24950,50
12/15/2021,24300,-650
12/16/2021,23350,-950
12/17/2021,23450,100
12/20/2021,23700,250
12/21/2021,23350,-350
12/22/2021,23100,-250
12/23/2021,23100,0
12/24/2021,23300,200
12/27/2021,23350,50
12/28/2021,23100,-250
12/29/2021,23200,100
12/30/2021,23200,0
12/31/2021,23150,-50
1/4/2022,23300,150
1/5/2022,23100,-200
1/6/2022,22850,-250
1/7/2022,22650,-200
1/10/2022,23200,550
1/11/2022,23050,-150
1/12/2022,22950,-100
1/13/2022,22650,-300
1/14/2022,22700,50
1/17/2022,22900,200
1/18/2022,22950,50
1/19/2022,22700,-250
1/20/2022,22800,100
1/21/2022,22700,-100
1/24/2022,22800,100
1/25/2022,23350,550
1/26/2022,24100,750
1/27/2022,24000,-100
1/28/2022,24300,300
2/7/2022,26000,1700
2/8/2022,26000,0
2/9/2022,26250,250
2/10/2022,26400,150
2/11/2022,26200,-200
2/14/2022,26400,200
2/15/2022,26250,-150
2/16/2022,26350,100
2/17/2022,26800,450
2/18/2022,27300,500
2/21/2022,26800,-500
2/22/2022,26100,-700
2/23/2022,26250,150
2/24/2022,25650,-600
2/25/2022,25900,250
2/28/2022,25350,-550
3/1/2022,25400,50
3/2/2022,25000,-400
3/3/2022,25000,0
3/4/2022,25400,400
3/7/2022,24900,-500
3/8/2022,25200,300
3/9/2022,25000,-200
3/10/2022,26200,1200
3/11/2022,25800,-400
3/14/2022,26150,350
3/15/2022,26150,0
3/16/2022,25700,-450
3/17/2022,25600,-100
3/18/2022,25350,-250
3/21/2022,25200,-150
3/22/2022,25300,100
